hour,day_of_week,is_weekend,road_type,weather,temperature,precipitation,vehicle_count,free_flow_speed,avg_speed,delay_min,risk_score,congestion_level
3,2,0,Arterial,Clear,32.9,0.0,292,57.8,51.8,0.3,9,LOW
12,0,0,Highway,Clear,28.3,0.0,1458,90.4,41.5,16.4,80,HIGH
1,4,0,Urban,Clear,33.4,0.0,231,38.2,35.3,0.2,22,LOW
22,6,1,Arterial,Clear,28.9,0.0,299,67.6,62.2,0.5,25,LOW
4,2,0,Arterial,Clear,39.3,0.0,452,57.1,48.5,0.7,12,LOW
10,0,0,Arterial,Clear,18.9,0.0,999,59.5,29.0,17.9,86,HIGH
5,3,0,Arterial,Clear,29.4,0.0,289,61.5,59.9,0.8,26,LOW
17,2,0,Arterial,Clear,34.3,0.0,1288,62.0,8.5,32.1,87,HIGH
20,5,1,Arterial,Rain,38.4,1.26,552,62.7,45.2,6.9,41,MEDIUM
9,5,1,Arterial,Fog,33.5,0.11,286,63.2,49.9,0.6,28,LOW
3,5,1,Arterial,Clear,20.7,0.0,540,62.8,45.3,7.8,66,MEDIUM
8,6,1,Arterial,Clear,16.4,0.0,513,58.3,51.6,0.2,35,LOW
5,4,0,Highway,Clear,26.8,0.0,340,87.3,85.0,1.3,18,LOW
1,2,0,Urban,Clear,30.5,0.0,154,40.1,38.6,0.0,14,LOW
16,3,0,Arterial,Clear,34.6,0.0,945,57.8,33.9,7.9,40,MEDIUM
4,2,0,Arterial,Clear,20.3,0.0,317,57.4,57.4,2.0,25,LOW
5,4,0,Urban,Clear,32.3,0.0,249,38.7,33.5,0.3,31,LOW
11,0,0,Highway,Clear,10.0,0.0,980,100.5,73.4,7.6,66,MEDIUM
22,4,0,Urban,Clear,22.8,0.0,305,44.6,39.2,2.1,21,LOW
20,5,1,Urban,Clear,34.0,0.0,254,39.3,37.9,0.0,14,LOW
9,6,1,Urban,Clear,19.7,0.0,161,33.8,29.7,0.5,33,LOW
21,0,0,Urban,Clear,20.3,0.0,164,38.2,34.6,1.8,34,LOW
20,6,1,Arterial,Clear,24.3,0.0,253,63.5,59.4,0.2,27,LOW
5,5,1,Highway,Rain,29.2,3.88,576,82.2,64.6,1.4,12,LOW
7,1,0,Arterial,Rain,20.2,8.62,450,62.4,41.9,5.0,45,MEDIUM
1,4,0,Highway,Clear,27.8,0.0,305,92.7,87.3,1.4,18,LOW
11,4,0,Highway,Clear,25.0,0.0,772,90.1,73.9,0.7,36,LOW
12,3,0,Urban,Clear,36.1,0.0,513,39.9,25.6,8.2,66,MEDIUM
20,2,0,Highway,Clear,24.6,0.0,1495,85.5,38.2,23.5,86,HIGH
6,0,0,Urban,Clear,28.2,0.0,103,42.1,39.1,1.0,23,LOW
9,6,1,Urban,Clear,29.2,0.0,169,40.9,37.6,1.6,10,LOW
12,0,0,Urban,Clear,25.1,0.0,462,38.6,31.4,0.0,13,LOW
16,3,0,Urban,Clear,33.4,0.0,502,37.6,26.2,7.7,53,MEDIUM
20,3,0,Urban,Fog,34.8,0.17,869,36.4,8.0,18.4,96,HIGH
13,6,1,Urban,Rain,24.6,1.11,512,41.1,23.1,8.7,52,MEDIUM
1,2,0,Arterial,Clear,30.1,0.0,380,59.2,55.1,1.3,25,LOW
21,6,1,Highway,Clear,21.5,0.0,761,89.1,76.7,0.9,21,LOW
10,6,1,Urban,Clear,31.9,0.0,308,35.3,32.0,1.3,35,LOW
0,5,1,Urban,Rain,29.6,0.9,261,36.7,27.6,1.3,9,LOW
18,2,0,Arterial,Rain,25.5,1.03,1800,55.2,8.0,25.9,89,HIGH
20,4,0,Highway,Storm,30.3,3.45,2189,93.8,8.0,32.0,86,HIGH
3,5,1,Arterial,Clear,32.1,0.0,438,60.7,57.7,2.3,31,LOW
18,1,0,Highway,Rain,36.6,3.18,2375,88.6,12.0,25.1,77,HIGH
20,2,0,Urban,Clear,30.8,0.0,649,43.3,22.4,8.0,51,MEDIUM
10,3,0,Urban,Rain,34.2,1.15,817,42.9,8.2,18.5,92,HIGH
7,5,1,Highway,Rain,41.3,3.34,369,95.5,79.3,0.1,34,LOW
10,2,0,Arterial,Clear,20.8,0.0,1321,59.0,8.2,29.7,81,HIGH
3,0,0,Highway,Clear,36.2,0.0,318,82.9,82.5,0.0,9,LOW
16,6,1,Arterial,Rain,21.8,0.3,885,66.8,30.8,29.1,93,HIGH
6,1,0,Highway,Clear,23.0,0.0,669,92.6,79.2,1.1,19,LOW
7,4,0,Arterial,Clear,27.9,0.0,381,62.2,51.8,0.6,20,LOW
2,6,1,Arterial,Clear,23.5,0.0,232,62.7,62.7,2.0,25,LOW
21,0,0,Highway,Clear,22.3,0.0,268,103.8,103.8,0.3,34,LOW
1,0,0,Arterial,Clear,27.6,0.0,183,59.6,56.5,2.3,16,LOW
22,1,0,Highway,Clear,25.7,0.0,461,97.2,89.5,0.6,17,LOW
14,4,0,Arterial,Clear,23.3,0.0,969,56.6,26.0,28.9,97,HIGH
23,3,0,Highway,Clear,21.3,0.0,387,94.1,91.4,1.1,35,LOW
21,5,1,Arterial,Clear,38.0,0.0,393,67.1,62.3,0.8,37,LOW
21,4,0,Urban,Clear,19.6,0.0,308,39.9,34.6,0.0,22,LOW
4,2,0,Urban,Clear,26.8,0.0,291,34.2,25.1,5.2,41,MEDIUM
23,0,0,Urban,Clear,35.8,0.0,232,41.7,38.1,1.4,19,LOW
0,2,0,Urban,Clear,33.7,0.0,103,39.3,37.3,0.0,35,LOW
3,3,0,Highway,Rain,29.6,0.43,458,94.2,77.7,1.1,24,LOW
14,2,0,Highway,Clear,23.6,0.0,1093,87.7,60.9,7.0,48,MEDIUM
19,4,0,Arterial,Rain,27.9,2.69,1260,69.6,14.2,26.5,97,HIGH
18,2,0,Urban,Clear,20.1,0.0,944,40.3,8.0,33.2,78,HIGH
2,3,0,Urban,Storm,26.0,9.16,144,42.4,25.3,9.4,61,MEDIUM
19,3,0,Highway,Clear,25.9,0.0,1749,85.0,22.6,15.6,88,HIGH
10,3,0,Arterial,Clear,26.6,0.0,1132,55.3,21.2,14.2,86,HIGH
16,4,0,Highway,Clear,22.5,0.0,1445,83.5,41.2,14.7,81,HIGH
12,3,0,Urban,Clear,16.1,0.0,389,36.1,28.5,0.4,15,LOW
10,0,0,Arterial,Clear,36.8,0.0,1086,62.7,20.1,21.5,90,HIGH
1,6,1,Highway,Clear,35.2,0.0,664,87.0,76.6,2.8,13,LOW
8,3,0,Arterial,Clear,34.1,0.0,1267,54.9,10.4,26.1,96,HIGH
1,2,0,Arterial,Rain,30.6,1.11,310,57.2,47.2,2.3,37,LOW
20,5,1,Urban,Clear,29.2,0.0,279,42.1,36.0,1.3,29,LOW
8,2,0,Highway,Clear,23.1,0.0,2525,93.4,11.7,13.6,88,HIGH
8,5,1,Urban,Clear,23.9,0.0,352,43.0,35.5,1.0,23,LOW
7,2,0,Arterial,Clear,38.2,0.0,215,58.9,58.9,1.7,30,LOW
16,4,0,Urban,Fog,39.8,0.41,544,46.0,20.8,22.1,95,HIGH
0,2,0,Urban,Rain,26.7,0.72,139,43.2,36.7,0.5,27,LOW
10,4,0,Highway,Rain,28.0,1.57,1733,84.1,25.8,15.7,94,HIGH
7,4,0,Highway,Fog,33.1,0.28,617,94.1,65.7,5.4,51,MEDIUM
9,3,0,Arterial,Clear,28.7,0.0,955,60.1,31.0,9.8,63,MEDIUM
6,0,0,Highway,Clear,29.2,0.0,354,89.2,85.3,2.3,22,LOW
2,5,1,Urban,Clear,27.6,0.0,175,40.0,38.5,1.3,9,LOW
2,3,0,Arterial,Rain,21.4,7.07,136,57.3,49.3,3.8,36,LOW
17,3,0,Urban,Rain,25.4,1.9,1200,43.0,8.0,34.0,79,HIGH
4,6,1,Highway,Clear,27.1,0.0,451,87.1,85.4,0.4,24,LOW
11,4,0,Highway,Clear,10.4,0.0,1492,87.2,42.9,18.4,85,HIGH
11,4,0,Arterial,Fog,28.6,0.2,981,63.0,22.1,33.8,88,HIGH
18,5,1,Highway,Clear,44.3,0.0,1068,100.9,72.0,6.7,62,MEDIUM
5,2,0,Arterial,Rain,25.0,3.03,318,58.0,46.1,0.4,10,LOW
1,2,0,Urban,Clear,28.2,0.0,178,36.3,32.9,0.2,12,LOW
11,3,0,Arterial,Clear,22.1,0.0,903,64.6,35.5,5.4,55,MEDIUM
18,1,0,Urban,Clear,20.3,0.0,1138,40.6,8.0,23.8,80,HIGH
4,1,0,Highway,Clear,25.8,0.0,502,92.5,86.9,2.5,37,LOW
11,2,0,Highway,Clear,32.4,0.0,1516,90.2,40.3,26.1,89,HIGH
16,1,0,Urban,Clear,26.4,0.0,595,41.8,22.4,8.4,44,MEDIUM
16,6,1,Urban,Rain,25.4,1.33,697,41.1,17.1,17.0,91,HIGH
9,2,0,Arterial,Clear,31.5,0.0,1134,57.9,18.0,13.8,86,HIGH
22,4,0,Urban,Rain,29.4,4.32,327,42.1,31.1,8.0,43,MEDIUM
16,3,0,Arterial,Clear,30.0,0.0,983,62.0,29.1,17.9,70,HIGH
14,0,0,Highway,Fog,36.3,0.12,1227,88.1,44.3,7.3,52,MEDIUM
11,3,0,Highway,Clear,35.5,0.0,1293,89.1,48.5,9.4,46,MEDIUM
15,2,0,Urban,Clear,38.5,0.0,701,37.6,17.1,28.1,84,HIGH
23,6,1,Highway,Clear,19.5,0.0,700,92.3,81.6,0.3,21,LOW
18,2,0,Arterial,Clear,34.0,0.0,1756,61.9,8.0,23.2,79,HIGH
7,3,0,Arterial,Fog,39.5,0.41,387,59.8,41.5,4.4,55,MEDIUM
20,6,1,Arterial,Clear,16.6,0.0,411,55.4,50.2,0.1,30,LOW
16,6,1,Arterial,Clear,27.9,0.0,956,51.9,26.0,8.3,45,MEDIUM
22,6,1,Highway,Rain,24.2,1.11,641,88.8,69.1,1.2,29,LOW
4,5,1,Highway,Clear,27.8,0.0,591,91.2,80.0,0.9,37,LOW
21,2,0,Arterial,Rain,36.0,17.22,415,62.6,49.6,0.4,20,LOW
15,1,0,Arterial,Clear,18.2,0.0,707,64.5,44.9,6.3,54,MEDIUM
5,1,0,Arterial,Rain,29.7,1.33,305,58.6,46.0,0.1,37,LOW
7,2,0,Arterial,Clear,24.0,0.0,146,53.7,53.7,0.5,23,LOW
17,2,0,Highway,Storm,36.2,23.11,1961,87.4,8.8,28.0,79,HIGH
11,5,1,Urban,Clear,30.9,0.0,217,46.5,46.0,0.7,13,LOW
14,1,0,Arterial,Clear,26.9,0.0,991,66.6,32.5,26.9,97,HIGH
8,2,0,Highway,Clear,23.0,0.0,2025,92.1,13.9,21.5,94,HIGH
12,2,0,Arterial,Clear,46.6,0.0,704,58.3,41.9,9.7,54,MEDIUM
14,5,1,Urban,Clear,30.0,0.0,759,39.7,13.2,29.9,85,HIGH
9,5,1,Urban,Clear,18.1,0.0,172,45.1,41.7,0.2,19,LOW
15,3,0,Highway,Clear,22.3,0.0,1341,91.0,49.2,7.7,53,MEDIUM
6,5,1,Arterial,Rain,30.9,1.77,287,58.5,45.1,0.9,27,LOW
16,0,0,Highway,Clear,22.9,0.0,1766,96.6,25.9,18.3,90,HIGH
22,1,0,Highway,Rain,23.8,0.99,385,80.3,66.7,1.7,14,LOW
20,3,0,Arterial,Clear,34.9,0.0,1641,56.0,8.0,23.6,71,HIGH
21,0,0,Arterial,Clear,34.3,0.0,234,56.8,54.9,1.9,34,LOW
6,2,0,Urban,Rain,24.0,0.9,198,43.0,35.5,0.5,23,LOW
13,2,0,Highway,Rain,36.2,6.64,1137,87.2,51.1,8.1,58,MEDIUM
14,3,0,Highway,Clear,23.0,0.0,1061,81.1,57.1,9.7,50,MEDIUM
20,5,1,Arterial,Clear,39.9,0.0,192,57.2,57.2,2.1,32,LOW
6,6,1,Highway,Clear,31.8,0.0,520,87.6,81.5,0.9,19,LOW
8,6,1,Highway,Clear,30.0,0.0,875,89.7,68.4,0.0,26,LOW
18,2,0,Highway,Clear,25.3,0.0,1691,90.6,29.8,25.0,82,HIGH
15,6,1,Arterial,Clear,23.7,0.0,1208,63.9,13.5,23.3,86,HIGH
7,4,0,Highway,Clear,11.7,0.0,277,88.4,88.4,1.8,28,LOW
17,3,0,Arterial,Clear,25.9,0.0,1747,57.7,8.0,31.1,72,HIGH
22,0,0,Highway,Fog,27.9,0.15,306,90.2,69.3,1.3,18,LOW
17,3,0,Highway,Rain,15.2,1.45,2461,91.2,11.5,28.3,78,HIGH
19,1,0,Arterial,Clear,33.8,0.0,1230,57.6,14.2,12.5,83,HIGH
6,5,1,Highway,Clear,26.9,0.0,846,81.5,66.1,0.6,25,LOW
2,5,1,Arterial,Clear,36.5,0.0,283,58.0,52.3,0.0,33,LOW
17,3,0,Highway,Rain,23.2,0.77,1685,94.0,27.3,27.0,90,HIGH
9,2,0,Arterial,Clear,36.7,0.0,1393,59.7,8.2,13.9,70,HIGH
6,2,0,Highway,Clear,24.9,0.0,372,96.2,90.4,1.4,23,LOW
16,4,0,Highway,Clear,27.6,0.0,1264,92.5,55.9,6.1,47,MEDIUM
13,4,0,Arterial,Clear,29.5,0.0,806,57.9,36.9,5.7,61,MEDIUM
23,5,1,Urban,Clear,27.7,0.0,219,44.4,38.0,1.5,29,LOW
2,4,0,Highway,Rain,30.1,11.38,535,85.7,70.8,0.8,25,LOW
11,0,0,Arterial,Clear,14.5,0.0,770,53.3,34.5,4.9,66,MEDIUM
12,4,0,Arterial,Clear,27.0,0.0,713,61.4,44.4,7.9,49,MEDIUM
1,0,0,Arterial,Clear,27.4,0.0,201,56.9,56.9,3.1,16,LOW
2,4,0,Urban,Clear,14.1,0.0,308,39.8,34.1,0.6,14,LOW
4,5,1,Highway,Clear,32.5,0.0,389,84.6,77.9,1.6,17,LOW
10,5,1,Urban,Clear,21.6,0.0,227,40.0,37.0,0.1,35,LOW
7,0,0,Arterial,Clear,34.6,0.0,231,61.9,61.9,1.6,25,LOW
22,3,0,Highway,Storm,28.6,4.81,509,93.2,59.3,7.1,66,MEDIUM
22,5,1,Urban,Fog,24.0,0.12,306,36.6,24.2,7.6,58,MEDIUM
11,3,0,Arterial,Clear,35.0,0.0,983,54.6,29.5,5.8,63,MEDIUM
6,2,0,Arterial,Rain,39.6,10.08,196,61.6,51.4,3.4,9,LOW
14,0,0,Arterial,Fog,28.3,0.45,851,58.5,28.4,30.7,95,HIGH
23,6,1,Arterial,Clear,37.6,0.0,240,57.8,57.8,0.8,35,LOW
16,5,1,Highway,Clear,26.8,0.0,1201,89.4,56.7,6.5,47,MEDIUM
3,1,0,Arterial,Clear,34.7,0.0,303,59.3,56.3,0.2,14,LOW
21,2,0,Highway,Clear,25.4,0.0,286,91.9,88.6,0.0,34,LOW
12,3,0,Urban,Rain,40.8,1.0,478,41.5,27.6,7.9,41,MEDIUM
17,5,1,Urban,Clear,35.5,0.0,685,43.0,20.4,26.0,95,HIGH
0,0,0,Arterial,Clear,31.3,0.0,312,59.0,55.8,1.2,28,LOW
15,6,1,Arterial,Clear,10.3,0.0,969,64.0,29.8,14.6,84,HIGH
12,4,0,Highway,Clear,31.1,0.0,1185,92.9,58.2,4.2,56,MEDIUM
9,6,1,Highway,Clear,19.4,0.0,335,94.4,89.2,2.7,11,LOW
11,1,0,Urban,Clear,30.5,0.0,580,36.7,19.2,6.8,56,MEDIUM
1,3,0,Highway,Clear,36.9,0.0,406,89.5,83.3,2.3,9,LOW
22,2,0,Arterial,Rain,32.8,7.0,450,67.6,51.6,1.4,34,LOW
2,6,1,Urban,Rain,34.0,1.01,292,35.9,28.4,1.8,35,LOW
9,0,0,Urban,Rain,25.4,0.31,925,45.4,8.0,12.6,81,HIGH
1,1,0,Arterial,Rain,17.3,6.01,228,67.0,56.7,1.2,13,LOW
22,0,0,Arterial,Rain,22.6,5.17,262,62.9,55.2,0.3,12,LOW
12,5,1,Arterial,Clear,25.7,0.0,1113,54.6,21.1,34.0,76,HIGH
12,4,0,Urban,Clear,27.9,0.0,317,39.4,31.5,1.7,16,LOW
17,2,0,Arterial,Clear,36.9,0.0,1139,63.2,21.5,12.3,78,HIGH
2,0,0,Arterial,Clear,33.1,0.0,404,54.7,51.1,0.4,22,LOW
6,3,0,Highway,Clear,43.5,0.0,283,93.4,92.3,0.4,16,LOW
13,5,1,Highway,Rain,21.0,1.22,1215,90.5,52.3,4.3,64,MEDIUM
19,5,1,Arterial,Clear,36.1,0.0,707,57.7,37.9,5.5,48,MEDIUM
16,2,0,Urban,Clear,34.1,0.0,402,36.6,28.5,0.9,26,LOW
20,5,1,Urban,Clear,27.2,0.0,155,44.4,39.2,0.3,11,LOW
11,3,0,Urban,Clear,21.3,0.0,520,42.3,28.4,5.9,48,MEDIUM
15,0,0,Arterial,Storm,23.7,2.94,612,59.3,32.3,6.0,66,MEDIUM
23,2,0,Urban,Clear,23.4,0.0,261,40.1,38.9,0.0,12,LOW
11,5,1,Urban,Clear,40.0,0.0,210,39.2,36.3,2.2,33,LOW
14,5,1,Arterial,Clear,33.8,0.0,877,52.8,28.8,4.4,50,MEDIUM
9,3,0,Highway,Rain,34.1,0.81,2201,96.4,12.9,33.4,71,HIGH
6,4,0,Arterial,Clear,28.6,0.0,240,60.9,59.1,1.5,27,LOW
19,4,0,Urban,Clear,26.4,0.0,955,42.9,8.0,25.2,75,HIGH
4,6,1,Highway,Rain,30.4,5.16,591,87.7,66.3,1.2,33,LOW
0,5,1,Urban,Clear,28.7,0.0,290,40.3,35.9,1.7,8,LOW
16,0,0,Highway,Clear,27.3,0.0,1704,91.6,27.1,22.9,77,HIGH
2,2,0,Arterial,Clear,30.6,0.0,465,64.1,55.3,1.1,29,LOW
12,5,1,Arterial,Rain,20.5,11.71,893,67.2,30.0,22.3,71,HIGH
13,1,0,Arterial,Clear,29.9,0.0,649,58.6,44.3,1.3,21,LOW
23,2,0,Arterial,Clear,27.2,0.0,401,58.6,55.5,0.9,10,LOW
17,6,1,Urban,Clear,23.0,0.0,725,39.3,16.9,12.8,90,HIGH
3,4,0,Arterial,Clear,32.5,0.0,245,57.6,57.3,1.3,29,LOW
17,5,1,Highway,Clear,40.6,0.0,1497,103.2,50.8,25.9,83,HIGH
4,3,0,Arterial,Clear,36.9,0.0,561,53.3,42.6,0.5,13,LOW
15,1,0,Highway,Clear,26.0,0.0,880,103.4,80.0,1.5,14,LOW
0,5,1,Highway,Clear,32.7,0.0,587,93.2,86.1,0.3,16,LOW
20,6,1,Arterial,Clear,33.9,0.0,544,59.7,48.9,0.7,18,LOW
13,0,0,Urban,Clear,28.8,0.0,539,37.5,26.2,9.7,41,MEDIUM
14,1,0,Arterial,Clear,27.8,0.0,766,59.8,41.4,9.8,58,MEDIUM
8,6,1,Arterial,Clear,30.4,0.0,469,57.7,45.9,0.0,29,LOW
14,5,1,Arterial,Clear,45.6,0.0,1072,65.5,25.8,23.2,89,HIGH
16,0,0,Highway,Storm,29.8,5.0,1555,93.2,25.4,19.7,91,HIGH
23,1,0,Urban,Clear,19.1,0.0,199,45.0,42.7,1.4,35,LOW
3,0,0,Arterial,Clear,20.7,0.0,439,58.8,54.1,0.0,35,LOW
11,0,0,Urban,Clear,26.8,0.0,464,40.4,25.5,8.0,42,MEDIUM
4,1,0,Highway,Clear,19.3,0.0,685,89.5,74.7,0.3,10,LOW
4,1,0,Highway,Rain,27.1,5.97,328,88.1,72.3,1.7,27,LOW
10,0,0,Urban,Clear,43.6,0.0,766,36.9,12.6,27.2,80,HIGH
5,6,1,Arterial,Clear,24.4,0.0,492,62.9,54.4,1.2,22,LOW
6,4,0,Highway,Clear,20.4,0.0,640,91.7,82.7,1.3,8,LOW
23,1,0,Highway,Clear,26.5,0.0,468,89.8,85.6,3.3,36,LOW
13,5,1,Urban,Clear,27.3,0.0,627,41.5,23.1,6.6,67,MEDIUM
23,2,0,Arterial,Clear,21.1,0.0,402,58.4,57.5,2.7,17,LOW
10,3,0,Arterial,Rain,19.3,0.91,1800,60.1,9.7,18.4,91,HIGH
12,0,0,Highway,Rain,37.5,3.98,1096,94.3,56.2,7.9,50,MEDIUM
1,0,0,Arterial,Clear,31.5,0.0,322,64.0,57.3,2.1,14,LOW
6,3,0,Urban,Clear,24.6,0.0,138,44.6,43.9,1.5,19,LOW
19,4,0,Highway,Fog,19.9,0.04,1881,84.5,10.5,22.9,75,HIGH
3,3,0,Arterial,Clear,24.4,0.0,454,56.1,47.2,0.5,14,LOW
7,1,0,Urban,Clear,19.4,0.0,260,36.5,36.3,1.8,32,LOW
19,3,0,Highway,Rain,23.9,3.08,2603,86.8,9.4,30.0,80,HIGH
21,0,0,Arterial,Clear,42.5,0.0,335,58.7,54.7,0.6,16,LOW
20,3,0,Arterial,Clear,29.7,0.0,1183,61.7,17.2,15.3,93,HIGH
18,2,0,Arterial,Clear,23.7,0.0,1333,64.7,8.0,24.7,92,HIGH
12,5,1,Arterial,Clear,32.8,0.0,616,58.4,42.6,9.4,41,MEDIUM
13,1,0,Arterial,Storm,21.5,5.14,590,62.3,28.4,20.3,92,HIGH
9,3,0,Arterial,Clear,25.2,0.0,1052,65.1,25.2,30.3,96,HIGH
10,0,0,Arterial,Storm,15.0,28.02,1313,58.2,8.0,23.4,86,HIGH
1,6,1,Arterial,Clear,36.9,0.0,199,58.9,56.3,1.3,23,LOW
8,5,1,Highway,Clear,26.6,0.0,657,90.3,75.8,0.3,25,LOW
16,1,0,Arterial,Clear,22.3,0.0,753,53.3,33.0,7.5,55,MEDIUM
2,0,0,Urban,Clear,32.5,0.0,258,41.5,35.9,1.1,27,LOW
23,4,0,Arterial,Clear,20.7,0.0,405,55.2,47.5,1.5,30,LOW
5,2,0,Arterial,Clear,21.1,0.0,261,63.2,60.0,1.3,33,LOW
4,4,0,Arterial,Rain,25.3,1.2,366,58.3,46.2,1.2,15,LOW
4,2,0,Urban,Storm,19.6,7.08,188,38.5,25.7,8.4,60,MEDIUM
21,3,0,Urban,Clear,23.4,0.0,229,37.1,33.5,0.9,10,LOW
14,1,0,Highway,Clear,26.6,0.0,945,92.7,71.7,2.1,18,LOW
22,3,0,Arterial,Rain,27.2,6.43,205,62.1,56.6,1.0,9,LOW
16,2,0,Arterial,Clear,18.7,0.0,897,58.2,31.5,6.5,63,MEDIUM
8,2,0,Arterial,Clear,26.3,0.0,1195,67.2,19.6,12.5,96,HIGH
2,2,0,Highway,Fog,32.1,0.22,288,90.2,71.5,0.8,36,LOW
19,5,1,Urban,Clear,33.2,0.0,670,40.0,21.0,8.3,51,MEDIUM
16,0,0,Highway,Clear,24.5,0.0,1163,90.3,60.7,8.0,50,MEDIUM
9,1,0,Arterial,Clear,26.7,0.0,1030,57.3,25.4,17.5,79,HIGH
2,3,0,Arterial,Clear,26.3,0.0,208,56.0,53.8,0.0,8,LOW
17,3,0,Highway,Clear,18.3,0.0,1921,88.1,12.5,14.7,90,HIGH
17,4,0,Urban,Clear,24.2,0.0,907,41.9,8.0,31.6,73,HIGH
16,2,0,Urban,Fog,33.6,0.12,659,34.4,12.4,33.0,74,HIGH
23,6,1,Arterial,Clear,33.7,0.0,333,54.0,53.7,0.7,32,LOW
2,2,0,Arterial,Clear,30.9,0.0,209,57.6,52.3,0.0,33,LOW
2,2,0,Highway,Clear,10.0,0.0,414,81.0,78.1,1.9,26,LOW
5,6,1,Arterial,Fog,22.5,0.27,283,54.3,40.5,5.1,51,MEDIUM
12,3,0,Highway,Storm,31.3,20.33,1245,94.0,34.1,22.0,91,HIGH
23,4,0,Arterial,Rain,40.0,1.99,251,58.2,48.7,1.3,31,LOW
14,0,0,Urban,Clear,27.9,0.0,501,37.5,25.2,5.8,61,MEDIUM
8,6,1,Highway,Fog,28.7,0.07,521,90.7,64.2,4.2,63,MEDIUM
3,5,1,Urban,Clear,27.2,0.0,187,40.3,38.6,1.1,30,LOW
13,1,0,Highway,Clear,18.9,0.0,1037,95.8,69.6,9.2,50,MEDIUM
4,6,1,Urban,Clear,30.5,0.0,144,34.7,33.6,0.1,11,LOW
1,0,0,Highway,Clear,17.4,0.0,680,85.4,71.4,1.4,17,LOW
10,3,0,Arterial,Rain,27.4,1.69,1314,57.6,11.2,28.3,75,HIGH
8,5,1,Highway,Clear,28.6,0.0,317,92.0,91.4,2.0,27,LOW
23,5,1,Urban,Clear,28.3,0.0,285,48.7,45.0,2.0,30,LOW
2,5,1,Arterial,Clear,18.9,0.0,386,62.3,55.2,0.1,27,LOW
8,2,0,Highway,Clear,23.0,0.0,1756,88.7,25.7,19.1,92,HIGH
2,1,0,Arterial,Clear,32.8,0.0,188,55.1,53.5,0.8,12,LOW
1,3,0,Arterial,Clear,28.5,0.0,344,54.6,48.4,1.3,14,LOW
11,3,0,Arterial,Clear,23.1,0.0,806,63.6,42.5,8.7,52,MEDIUM
9,5,1,Urban,Clear,20.5,0.0,214,37.6,34.1,0.0,11,LOW
8,3,0,Arterial,Rain,33.6,10.81,1800,58.6,8.0,25.1,76,HIGH
14,1,0,Highway,Fog,28.2,0.04,1330,98.3,47.6,15.9,74,HIGH
7,1,0,Highway,Storm,20.1,7.25,583,81.4,42.4,6.0,54,MEDIUM
4,4,0,Arterial,Rain,26.7,3.65,410,61.1,47.1,0.0,13,LOW
10,6,1,Arterial,Clear,22.4,0.0,383,56.4,46.4,0.7,22,LOW
1,6,1,Arterial,Rain,30.1,0.29,355,66.5,55.9,0.2,18,LOW
23,4,0,Highway,Clear,36.8,0.0,461,85.3,80.0,1.5,33,LOW
14,0,0,Arterial,Rain,20.4,1.48,746,62.7,32.7,7.6,46,MEDIUM
5,6,1,Urban,Clear,29.1,0.0,163,34.6,33.7,1.8,30,LOW
7,1,0,Highway,Rain,29.0,9.88,630,97.8,80.0,3.1,11,LOW
4,1,0,Arterial,Clear,13.0,0.0,214,63.7,63.7,1.3,31,LOW
15,6,1,Urban,Clear,33.8,0.0,646,38.3,18.3,29.4,74,HIGH
17,1,0,Arterial,Clear,42.7,0.0,1569,61.6,8.5,31.8,75,HIGH
5,4,0,Highway,Clear,29.0,0.0,234,94.8,92.2,0.5,31,LOW
4,5,1,Arterial,Storm,37.5,2.31,352,60.6,35.4,8.5,49,MEDIUM
15,5,1,Urban,Clear,19.2,0.0,748,38.8,11.4,17.8,95,HIGH
12,3,0,Highway,Clear,23.0,0.0,1133,89.5,56.5,6.9,59,MEDIUM
4,5,1,Arterial,Fog,28.5,0.38,357,60.4,45.1,6.6,61,MEDIUM
12,2,0,Highway,Clear,22.0,0.0,1266,90.3,56.5,9.9,49,MEDIUM
16,4,0,Arterial,Clear,28.3,0.0,699,61.7,44.3,8.0,63,MEDIUM
17,1,0,Arterial,Clear,35.0,0.0,1479,55.9,11.4,25.2,77,HIGH
7,6,1,Arterial,Clear,21.8,0.0,213,57.4,57.4,2.3,23,LOW
12,5,1,Highway,Rain,35.3,6.44,1580,88.0,32.3,18.6,93,HIGH
18,4,0,Arterial,Rain,14.5,1.14,1448,61.9,8.0,29.8,79,HIGH
2,5,1,Arterial,Storm,24.0,4.42,418,53.9,30.9,10.0,49,MEDIUM
23,0,0,Arterial,Clear,26.6,0.0,486,60.6,51.2,1.7,33,LOW
7,1,0,Arterial,Clear,21.5,0.0,274,63.1,56.5,1.1,33,LOW
1,0,0,Arterial,Clear,24.1,0.0,324,60.2,53.1,1.3,9,LOW
7,1,0,Urban,Rain,37.8,8.62,351,40.2,30.2,1.5,18,LOW
12,4,0,Arterial,Clear,36.7,0.0,804,58.8,35.6,4.7,61,MEDIUM
12,3,0,Arterial,Clear,33.0,0.0,623,60.2,45.1,4.4,50,MEDIUM
0,5,1,Urban,Clear,35.3,0.0,178,38.7,34.9,0.0,26,LOW
5,5,1,Highway,Clear,23.7,0.0,452,89.2,84.4,1.4,36,LOW
23,2,0,Highway,Rain,19.4,5.05,606,87.8,69.8,3.2,16,LOW
